"id"	"text.id"	"subfile.id"	"spk.ref"	"speech.unit.count"	"word.count"
"754"	"S2A-066"	"1"	"A"	128	2286
"755"	"S2A-067"	"1"	"A"	146	2265
"756"	"S2A-068"	"1"	"A"	111	2264
"757"	"S2A-069"	"1"	"A"	96	2316
"758"	"S2A-070"	"1"	"A"	135	1804
"759"	"S2A-070"	"2"	"A"	19	506
"760"	"S2B-001"	"1"	"A"	63	1004
"761"	"S2B-001"	"1"	"B"	46	801
"762"	"S2B-001"	"1"	"C"	3	64
"763"	"S2B-001"	"1"	"D"	1	44
"764"	"S2B-001"	"1"	"E"	13	194
"765"	"S2B-001"	"1"	"Z"	14	109
"766"	"S2B-002"	"1"	"A"	52	820
"767"	"S2B-002"	"1"	"B"	50	795
"768"	"S2B-002"	"1"	"C"	2	36
"769"	"S2B-002"	"1"	"D"	3	85
"770"	"S2B-002"	"1"	"E"	6	121
"771"	"S2B-002"	"1"	"F"	4	72
"772"	"S2B-002"	"1"	"G"	2	49
"773"	"S2B-002"	"1"	"H"	8	100
"774"	"S2B-002"	"1"	"I"	10	170
"775"	"S2B-002"	"1"	"J"	2	39
"776"	"S2B-002"	"1"	"K"	2	40
"777"	"S2B-002"	"1"	"Z"	5	64
"778"	"S2B-003"	"1"	"A"	52	785
"779"	"S2B-003"	"1"	"B"	61	1083
"780"	"S2B-003"	"1"	"C"	1	29
"781"	"S2B-003"	"1"	"D"	7	139
"782"	"S2B-003"	"1"	"E"	2	20
"783"	"S2B-003"	"1"	"F"	3	18
"784"	"S2B-003"	"1"	"Z"	5	86
"785"	"S2B-004"	"1"	"A"	34	497
"786"	"S2B-004"	"1"	"B"	13	232
"787"	"S2B-004"	"1"	"C"	14	238
"788"	"S2B-004"	"1"	"Z"	12	45
"789"	"S2B-004"	"2"	"A"	22	373
"790"	"S2B-004"	"3"	"A"	14	305
"791"	"S2B-004"	"3"	"B"	23	325
"792"	"S2B-004"	"3"	"C"	3	86
"793"	"S2B-004"	"3"	"D"	1	21
"794"	"S2B-004"	"3"	"E"	1	31
"795"	"S2B-004"	"3"	"F"	3	66
"796"	"S2B-004"	"3"	"Z"	2	0
"797"	"S2B-005"	"1"	"A"	56	759
"798"	"S2B-005"	"1"	"B"	7	92
"799"	"S2B-005"	"1"	"C"	1	40
"800"	"S2B-005"	"2"	"A"	48	656
"801"	"S2B-005"	"2"	"B"	19	440
"802"	"S2B-005"	"2"	"C"	5	117
"803"	"S2B-005"	"2"	"D"	2	68
"804"	"S2B-005"	"2"	"Z"	2	10
"805"	"S2B-006"	"1"	"A"	71	1087
"806"	"S2B-006"	"1"	"B"	1	41
